30900812,REL,CAABS-13,2
30900812,REL,CAABS-7,2
30900812,REL,EA1-9,2
30900812,REL,EC121-8,1
30900812,REL,ELO-22,1
30900812,REL,ET2-3,10
30900812,REL,LTP34-11,9.08
30900812,REL,LTP38-8,22.66
30900812,REL,SK38-32,1.33
30900910,A,SCL38-38,1
30900910,A,ITTC42-1,1
30900910,A,EC22-70,1
30900910,A,DA2-61,2
30900910,A,TA1-35,2
30900910,A,WGXL-16K,24.25
30900910,A,WGXL-16W,24.25
30900910,A,ET1-35,2
30900910,A,TT2-32,2
30900910,A,LTP14-7,23.58
30900912,REL,CAABS-12,2
30900912,REL,CAABS-1,2
30900912,REL,EC121-9,1
30900912,REL,EC21-12,1
30900912,REL,ELO-1,1
30900912,REL,ELO-22,1
30900912,REL,ET2-27,14
30900912,REL,LTP14-7,0.25
30900912,REL,LTP38-8,18.84
30900912,REL,LTP58-10,23.84
30900912,REL,SK38-7,0.5
30900912,REL,WGXL-16K,1.09
30900912,REL,WGXL-16W,1.09
30901155,REL,DA1-2,2
30901155,REL,DA2-80,2
30901155,REL,DC21-98,1
30901155,REL,DC22-85,1
30901155,REL,DC41-20,1
30901155,REL,DGP47V-6,1
30901155,REL,DT1-31,2
30901155,REL,DT1-53,2
30901155,REL,DT2-107,2
30901155,REL,LTP12-9,2.083333333
30901155,REL,SK14-6,0.25
30901155,REL,TT3-10,2
30901155,REL,WGXL-18B,3.75
30901155,REL,WGXL-18K,3.75
31000506,B,EC31-13,6
31000506,B,EC32-43,1
31000506,B,EC62-71,2
31000506,B,ELO-10,4
31000506,B,ELO-5,2
31000506,B,ET2-34,18
31000506,B,LTP38-8,9.17
31000506,B,SK18-24,1
31000506,B,SK34-4,0.75
31000506,B,SKO34-1,0.753
31000506,B,CA212C-24,10.25
34211410,REL,LTP12-9,15.5
34211410,REL,LTP14-7,1.166666667
34211410,REL,LTP38-8,1.25
34211410,REL,SK14-6,0.75
34211410,REL,SK18-24,0.09
34211410,REL,TT3-14,6
34211410,REL,TT3-21,1
34211410,REL,TT3-13,1
34211410,REL,WGXL-14B,4.75
34211410,REL,WGXL-14K,10.66
34211410,REL,WGXL-14N,16.66
34211410,REL,WGXL-14T,4.75
34211604,B,TLO-1,1
34211604,B,ELO-5,1
34211604,B,ELO-10,2
34211604,B,TC62-3,1
34211604,B,TC182-41,1
34211604,B,ITTC42-1,3
34211604,B,EC62-71,1
34211604,B,EC31-13,3
34211604,B,TA2-27,9
34211604,B,TA1-35,3
34211604,B,TT2-14,4
34211604,B,ET2-34,9
34211604,B,TT2-32,9
34211604,B,TT2-308,9
34211604,B,WGXL-16K,37.33
34211604,B,WGXL-16R,19.07666667
34211604,B,WGXL-16W,19.07666667
34211604,B,WGXL-16Y,18
34211604,B,WGXL-18K,36
34211604,B,WGXL-18R,36
34211604,B,WGXL-20K,13.25
34211604,B,WGXL-20R,13
34211604,B,CA212C-24,80.709
34211604,B,SK14-6,0.166667
34211604,B,SK18-24,0.25
34211604,B,SK38-32,1
34211604,B,LTP14-7,12.9167
34211604,B,LTP38-8,28.75
